id,const_anon_id,response_auto_and_manual,manualresponse_exists_inc_post_count_nonresponse,manualresponse_exists,partycongruent,partycongruent_neat,issue,position,send_cat,mp_type_detailed,mp_type_abstain_nonreb,diff_mp_party_outliers_removed,diff_mp_party,has_response_info,respondent_reported_letter_status,lr_mp_party,word_total
428,23,FALSE,0,0,0,Constituent-party not congruent,singlem,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
428,23,FALSE,0,0,0,Constituent-party not congruent,tuitionfree,agree,beyond 6,loyalist,loyalist,NA,NA,0,NA,NA,NA
418,24,TRUE,1,1,0,Constituent-party not congruent,tuitionlevel,disagree,2-6,loyalist,loyalist,0.012195121951219513,0.012195121951219513,0,NA,0.9808292530117262,410
431,24,TRUE,1,1,1,Constituent-party congruent,tuitionlevel,agree,1,loyalist,loyalist,0.014150943396226415,0.014150943396226415,1,1,1.0986122886681098,424
52,25,TRUE,1,1,1,Constituent-party congruent,singlem,disagree,2-6,loyalist,loyalist,0.0304975922953451,0.0304975922953451,0,NA,1.1349799328389845,623
52,25,FALSE,0,0,1,Constituent-party congruent,immigration,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
52,25,FALSE,0,0,0,Constituent-party not congruent,skilled,agree,beyond 6,loyalist,loyalist,NA,NA,0,NA,NA,NA
55,25,TRUE,1,1,1,Constituent-party congruent,freedomm,disagree,1,loyalist,loyalist,0.0304975922953451,0.0304975922953451,0,NA,1.1349799328389845,623
55,25,TRUE,1,1,0,Constituent-party not congruent,immigration,agree,2-6,loyalist,loyalist,0.01639344262295082,0.01639344262295082,0,NA,0.6931471805599453,61
452,25,TRUE,0,0,0,Constituent-party not congruent,freedomm,agree,2-6,loyalist,loyalist,NA,NA,1,0,NA,NA
452,25,TRUE,1,1,0,Constituent-party not congruent,singlem,agree,2-6,loyalist,loyalist,0.0304975922953451,0.0304975922953451,1,0,1.1349799328389845,623
452,25,FALSE,0,0,1,Constituent-party congruent,skilled,disagree,beyond 6,loyalist,loyalist,NA,NA,1,0,NA,NA
313,26,TRUE,1,1,0,Constituent-party not congruent,secondr,agree,1,loyalist,loyalist,0.024024024024024024,0.024024024024024024,0,NA,0.9555114450274363,333
458,26,TRUE,1,1,1,Constituent-party congruent,secondr,disagree,2-6,loyalist,loyalist,0.024024024024024024,0.024024024024024024,0,NA,0.9555114450274363,333
50,27,TRUE,1,1,0,Constituent-party not congruent,freedomm,agree,2-6,loyalist,loyalist,-0.022727272727272728,-0.022727272727272728,0,NA,-1.791759469228055,440
50,27,TRUE,1,1,1,Constituent-party congruent,immigration,disagree,beyond 6,loyalist,loyalist,-0.029239766081871343,-0.029239766081871343,0,NA,-0.9808292530117262,171
50,27,TRUE,1,1,1,Constituent-party congruent,tuitionlevel,disagree,beyond 6,loyalist,loyalist,0.009523809523809525,0.009523809523809525,1,1,0.4054651081081644,105
112,27,TRUE,1,1,0,Constituent-party not congruent,customs,disagree,2-6,unclear rebel,loyalist,-0.023255813953488372,-0.023255813953488372,0,NA,-1.791759469228055,430
112,27,TRUE,1,1,1,Constituent-party congruent,freedomm,disagree,2-6,loyalist,loyalist,-0.01079136690647482,-0.01079136690647482,0,NA,-1.7047480922384253,834
112,27,TRUE,1,1,1,Constituent-party congruent,singlem,disagree,beyond 6,loyalist,loyalist,-0.010922330097087379,-0.010922330097087379,0,NA,-1.7047480922384253,824
239,27,TRUE,1,1,1,Constituent-party congruent,secondr,disagree,2-6,unclear rebel,loyalist,-0.010817307692307692,-0.010817307692307692,0,NA,-1.7047480922384253,832
239,27,TRUE,1,1,0,Constituent-party not congruent,singlem,agree,beyond 6,loyalist,loyalist,-0.01090909090909091,-0.01090909090909091,0,NA,-1.7047480922384253,825
239,27,TRUE,1,1,1,Constituent-party congruent,skilled,disagree,beyond 6,loyalist,loyalist,-0.033112582781456956,-0.033112582781456956,0,NA,-0.9808292530117262,151
241,27,TRUE,1,1,0,Constituent-party not congruent,secondr,agree,1,unclear rebel,loyalist,-0.02158273381294964,-0.02158273381294964,0,NA,-0.916290731874155,139
241,27,FALSE,0,0,1,Constituent-party congruent,customs,agree,2-6,unclear rebel,loyalist,NA,NA,0,NA,NA,NA
241,27,TRUE,1,1,0,Constituent-party not congruent,tuitionlevel,agree,beyond 6,loyalist,loyalist,0.009523809523809525,0.009523809523809525,0,NA,0.4054651081081644,105
461,27,TRUE,1,1,0,Constituent-party not congruent,immigration,agree,beyond 6,loyalist,loyalist,-0.034482758620689655,-0.034482758620689655,0,NA,-0.9808292530117262,145
461,27,TRUE,1,1,0,Constituent-party not congruent,skilled,agree,beyond 6,loyalist,loyalist,-0.033112582781456956,-0.033112582781456956,0,NA,-0.9808292530117262,151
53,28,FALSE,0,0,0,Constituent-party not congruent,customs,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
53,28,TRUE,1,1,0,Constituent-party not congruent,singlem,disagree,2-6,loyalist,loyalist,0.027247956403269755,0.027247956403269755,0,NA,2.03688192726104,734
352,28,TRUE,1,1,1,Constituent-party congruent,singlem,agree,2-6,loyalist,loyalist,0.02066115702479339,0.02066115702479339,0,NA,1.55814461804655,726
441,28,TRUE,1,1,1,Constituent-party congruent,secondr,agree,2-6,loyalist,loyalist,0.003311258278145695,0.003311258278145695,0,NA,0.15415067982725836,604
448,28,TRUE,1,1,1,Constituent-party congruent,customs,agree,2-6,loyalist,loyalist,0.021306818181818184,0.021306818181818184,0,NA,1.55814461804655,704
449,28,TRUE,1,1,1,Constituent-party congruent,tuitionfree,agree,beyond 6,loyalist,loyalist,0.02380952380952381,0.02380952380952381,0,NA,1.252762968495368,420
454,28,TRUE,1,1,0,Constituent-party not congruent,secondr,disagree,1,loyalist,loyalist,0.016908212560386476,0.016908212560386476,0,NA,1.2039728043259361,828
459,28,TRUE,1,1,0,Constituent-party not congruent,tuitionlevel,agree,beyond 6,loyalist,loyalist,0.019559902200488997,0.019559902200488997,0,NA,0.9555114450274363,409
463,28,TRUE,1,1,0,Constituent-party not congruent,tuitionfree,disagree,beyond 6,loyalist,loyalist,0.01965601965601966,0.01965601965601966,0,NA,0.9555114450274363,407
470,28,TRUE,1,1,1,Constituent-party congruent,tuitionlevel,disagree,beyond 6,loyalist,loyalist,0.024154589371980676,0.024154589371980676,1,0,1.252762968495368,414
305,29,TRUE,0,0,1,Constituent-party congruent,immigration,agree,1,loyalist,loyalist,NA,NA,0,NA,NA,NA
305,29,TRUE,1,1,1,Constituent-party congruent,skilled,agree,2-6,loyalist,loyalist,0.015151515151515152,0.015151515151515152,0,NA,0.28768207245178085,66
305,29,TRUE,1,1,1,Constituent-party congruent,tuitionfree,disagree,2-6,loyalist,loyalist,0,0,0,NA,0,55
471,29,TRUE,0,0,0,Constituent-party not congruent,immigration,disagree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
471,29,TRUE,1,1,0,Constituent-party not congruent,skilled,disagree,2-6,loyalist,loyalist,0.02702702702702703,0.02702702702702703,0,NA,0.6931471805599453,37
471,29,FALSE,0,0,0,Constituent-party not congruent,tuitionfree,agree,2-6,loyalist,loyalist,NA,NA,0,NA,NA,NA
