Winner17,leaveHanretty,Majority17,c11Degree,mp_first_start,frontbench,in_experiment,in_experimentn,Region
4,36.98912494,9.727830629890722,NA,2015-05-08,TRUE,Excluded (no letters),Excluded,11
2,56.73223173,41.62631281051506,8.734127126875068,1984-05-03,FALSE,Excluded (no letters),Excluded,10
2,70.34795688,10.147677944288114,9.940750493745885,2001-06-07,FALSE,Excluded (no letters),Excluded,7
2,58.09965023,7.318651404600933,11.334852059772734,2010-05-06,TRUE,Excluded (no letters),Excluded,1
1,63.9834539,24.317645323104163,11.940225915883419,2010-05-06,FALSE,Excluded (no letters),Excluded,8
1,58.58949343,39.045685643964575,16.23382594417077,2010-05-06,TRUE,Excluded (no letters),Excluded,4
2,54.40888662,10.75650717946116,12.188375350140056,1992-04-09,FALSE,Excluded (no letters),Excluded,10
2,60.98402815,35.54887749690649,8.863248231225155,2005-05-05,TRUE,Excluded (no letters),Excluded,2
2,54.25037956999999,4.139957264957265,16.9346168881939,2010-05-06,FALSE,Excluded (no letters),Excluded,4
2,61.35345111,24.826733765947115,11.677537611883452,1974-10-10,FALSE,Excluded (no letters),Excluded,4
1,51.23541176999999,28.90197897964536,20.868903598873924,1986-05-08,FALSE,Excluded (no letters),Excluded,4
1,52.47070747,23.060888209485615,17.87834577994771,2010-05-06,FALSE,Excluded (no letters),Excluded,4
1,62.051672270000005,5.676855895196507,10.951803097053315,2017-06-09,FALSE,Excluded (no letters),Excluded,4
1,60.35100097,22.743250175751932,14.37886971413516,2010-05-06,TRUE,Excluded (no letters),Excluded,4
1,53.53419453,41.776530350048425,15.816457318636248,2010-05-06,TRUE,Excluded (no letters),Excluded,9
1,50.88695191,27.107392296521677,18.120248602630184,2010-05-06,TRUE,Excluded (no letters),Excluded,9
1,50.4076662,13.308601901228842,16.734172088195834,2001-06-07,FALSE,Excluded (no letters),Excluded,9
1,57.03847943,7.7766807288394215,11.474837809196412,2015-05-08,FALSE,Excluded (no letters),Excluded,9
1,55.07620277,29.92224303308928,14.48044386601822,1992-04-09,FALSE,Excluded (no letters),Excluded,9
1,57.1897604,34.778076664425015,13.10695760383426,2005-05-05,FALSE,Excluded (no letters),Excluded,9
2,57.146548519999996,5.873198337607215,13.037690419965736,2015-05-08,TRUE,Excluded (no letters),Excluded,3
2,68.48643718000001,11.23988866660868,8.294976613773681,1997-05-01,FALSE,Included (letters sent),Included,3
2,66.70483969,23.547322424693196,8.947789840567081,1997-05-01,FALSE,Included (letters sent),Included,3
2,71.65068615,33.14426167517489,6.378180901990425,2005-05-05,FALSE,Excluded (no letters),Excluded,3
1,57.083164769999996,31.788038297343224,13.704075968736404,2015-05-08,FALSE,Excluded (no letters),Excluded,9
1,56.60860284,46.25834469887302,14.394045601111353,2015-05-08,FALSE,Excluded (no letters),Excluded,9
1,59.44560911,22.531113936731785,11.275848614904408,2010-05-06,FALSE,Excluded (no letters),Excluded,9
1,51.0392986,32.03295412597738,16.766474520984552,1997-05-01,FALSE,Excluded (no letters),Excluded,9
1,63.00961235,12.386945310395259,10.338645168570318,2010-05-06,FALSE,Excluded (no letters),Excluded,8
2,71.43022556000001,0.05654073502955538,8.355372409127252,2005-05-05,FALSE,Excluded (no letters),Excluded,5
1,70.41731849,20.212320886936514,7.922309061363461,2015-05-08,FALSE,Excluded (no letters),Excluded,5
